,Word,Definitions
0,tube,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
1,comedy,light and humorous drama with a happy ending
2,seller,someone who promotes or exchanges goods or services for money
3,murder,unlawful premeditated killing of a human being by a human being
4,figure,a diagram or picture illustrating textual material
5,roof,a protective covering that covers or forms the top of a building
6,accent,distinctive manner of oral expression
7,interactive,NO DEFINITION FOUND
8,poll,an inquiry into public opinion conducted by interviewing a random sample of people
9,column,a line of units following one after another
10,orgy,any act of immoderate indulgence
11,noble,a titled peer of the realm
12,document,writing that provides information (especially information of an official nature)
13,speculate,NO DEFINITION FOUND
14,breeze,a slight wind (usually refreshing)
15,meat,the flesh of animals (including fishes and birds and snails) used as food
16,negligence,failure to act with the prudence that a reasonable person would exercise under the same circumstances
17,partner,a person's partner in marriage
18,pioneer,someone who helps to open up a new line of research or technology or art
19,prescription,directions prescribed beforehand; the action of prescribing authoritative rules or directions
20,retired,NO DEFINITION FOUND
21,baby,a very young child (birth to 1 year) who has not yet begun to walk or talk
22,disability,the condition of being unable to perform as a consequence of physical or mental unfitness
23,cry,a loud utterance; often in protest or opposition
24,overlook,a high place affording a good view
25,copy,a reproduction of a written record (e.g. of a legal or school record)
26,oral,an examination conducted by spoken communication
27,law,the collection of rules imposed by authority
28,rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain
29,radiation,energy that is radiated or transmitted in the form of rays or waves or particles
30,button,a round fastener sewn to shirts and coats etc to fit through buttonholes
31,relevance,the relation of something to the matter at hand
32,satisfied,NO DEFINITION FOUND
33,harbor,a sheltered port where ships can take on or discharge cargo
34,matrix,(mathematics) a rectangular array of quantities or expressions set out by rows and columns; treated as a single element and manipulated according to rules
35,extraterrestrial,a form of life assumed to exist outside the Earth or its atmosphere
36,herb,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
37,ministry,religious ministers collectively (especially Presbyterian)
38,housing,structures collectively in which people are housed
39,ice,water frozen in the solid state
40,earthwax,NO DEFINITION FOUND
41,nuclear,NO DEFINITION FOUND
42,yearn,NO DEFINITION FOUND
43,time,an instance or single occasion for some event
44,purpose,an anticipated outcome that is intended or that guides your planned actions
45,frame,the framework for a pair of eyeglasses
46,mechanical,NO DEFINITION FOUND
47,comfort,a state of being relaxed and feeling no pain
48,medal,an award for winning a championship or commemorating some other event
49,astonishing,NO DEFINITION FOUND
50,guerrilla,a member of an irregular armed force that fights a stronger force by sabotage and harassment
51,publication,a copy of a printed work offered for distribution
52,helicopter,an aircraft without wings that obtains its lift from the rotation of overhead blades
53,flush,the period of greatest prosperity or productivity
54,differ,NO DEFINITION FOUND
55,sister,a female person who has the same parents as another person
56,plastic,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
57,deposit,the phenomenon of sediment or gravel accumulating
58,refuse,food that is discarded (as from a kitchen)
59,left,location near or direction toward the left side; i.e. the side to the north when a person or object faces east
60,profession,the body of people in a learned occupation
61,elephant,five-toed pachyderm
62,suffering,a state of acute pain
63,say,the chance to speak
64,fill,a quantity sufficient to satisfy
65,slam,winning all or all but one of the tricks in bridge
66,partnership,the members of a business venture created by contract
67,strict,NO DEFINITION FOUND
68,ambiguity,an expression whose meaning cannot be determined from its context
69,wardrobe,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
70,shot,the act of firing a projectile
71,socialist,a political advocate of socialism
72,bar,a room or establishment where alcoholic drinks are served over a counter
73,judgment,an opinion formed by judging something
74,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
75,literature,creative writing of recognized artistic value
76,provoke,NO DEFINITION FOUND
77,adult,a fully developed person from maturity onward
78,hut,temporary military shelter
79,storage,the act of storing something
80,silk,a fabric made from the fine threads produced by certain insect larvae
81,snarl,a vicious angry growl
82,raise,the amount a salary is increased
83,gear,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
84,south,the region of the United States lying to the south of the Mason-Dixon line
85,stretch,a large and unbroken expanse or distance
86,bronze,an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin
87,crown,the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
88,find,a productive insight
89,insist,NO DEFINITION FOUND
90,inquiry,a search for knowledge
91,jest,a humorous anecdote or remark intended to provoke laughter
92,string,a lightweight cord
93,approval,the formal act of approving
94,ticket,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
95,ignorant,NO DEFINITION FOUND
96,memory,something that is remembered
97,duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
98,extreme,the furthest or highest degree of something
99,husband,a married man; a woman's partner in marriage
100,structure,a thing constructed; a complex entity constructed of many parts
101,jelly,an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods
102,finance,the commercial activity of providing funds and capital
103,resignation,acceptance of despair
104,manner,how something is done or how it happens
105,accident,an unfortunate mishap; especially one causing damage or injury
106,systematic,NO DEFINITION FOUND
